,TRANSTYPE,DOCNUM,CUSTOMER,CUSTNAME,INVNUMBER,INVDATE,TRANSDATE,SALESPER1,ITEM,DESC,PRICELIST,QTYSHIPPED,INVUNIT,UNITPRICE,EXTINVMISC,TAMOUNT1,INVDISC,TBASE1,DPID,SUBCATID,MSOTR,FMTR,RSMTR,PRODUCTID,SUBDISTNAME,MARKETNAME,CUSTYPE,CUSTYPEDESC,CondID,BRAND,PICKINGSEQ,Cause_Of_Return_ID,SHINUMBER,SHIPDATE,TERMS,DAYENDNUM,AUDTORG,MSOGRP,BILEMAILC,INVDISCPER,TRNSFRED,TRNUMBER,FMID,RSMID,IDEN,DATETIME,CIRCULARNO,BATCHID
12,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1067,ORADIN 10MG TAB 100S                                        ,1,2,100s      ,299.85,599.7,52.174,74.05,599.7,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Flat Rate applied   ,12.34784,0,3,N/A     ,N/A     ,56178511,18:03.5,SC-2017-06-10487,0O701
13,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1204,NEOSALINE 10.25GM 50S                                       ,1,1,50s       ,187.41,187.41,32.609,0,187.41,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Declared Item       ,0,0,3,N/A     ,N/A     ,56178512,18:03.5,,9012
14,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1107,AROCEF 500MG CAP 24S                                        ,1,2,24s       ,269.87,539.74,46.957,10.79,539.74,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99911,0,3,N/A     ,N/A     ,56178513,18:03.5,,8005
15,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,200139,1088,CARBAZIN 200MG TAB 50S                                      ,1,2,50s       ,149.93,299.86,26.088,6,299.86,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.00093,0,3,N/A     ,N/A     ,56178514,18:03.5,,9001
16,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,200139,1687,CARDOPLUS 50MG TAB 40S                                      ,1,1,40s       ,239.88,239.88,41.74,4.8,239.88,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.001,0,3,N/A     ,N/A     ,56178515,18:03.5,,9002
17,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,200139,1005,DEZIDE TAB 100S                                             ,1,2,100s      ,74.96,149.92,13.043,3,149.92,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.00107,0,3,N/A     ,N/A     ,56178516,18:03.5,,9002
18,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1483,ESORAL 40MG TAB 30S                                         ,1,5,30s       ,179.91,899.55,31.304,17.99,899.55,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.99989,0,3,N/A     ,N/A     ,56178517,18:03.5,,9005
19,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1466,ETHINOR 5MG TAB 45S                                         ,1,2,45s       ,168.66,337.32,29.347,6.75,337.32,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,2.00107,0,3,N/A     ,N/A     ,56178518,18:03.5,,9003
20,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1368,FENOBAC 10MG TAB 30S                                        ,1,1,30s       ,179.91,179.91,31.304,3.6,179.91,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.001,0,3,N/A     ,N/A     ,56178519,18:03.5,,901
21,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1160,FEOFOL CI CAP 30S                                           ,1,1,30s       ,56.22,56.22,9.782,1.12,56.22,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99217,0,3,N/A     ,N/A     ,56178520,18:03.5,,9003
22,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1576,FLUCLOXIN 500MG CAP 40S                                     ,1,5,40s       ,314.84,1574.2,54.782,31.48,1574.2,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.99975,0,3,N/A     ,N/A     ,56178521,18:03.5,,9009
23,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1008,FLUCLOXIN CAP 250MG 100S                                    ,1,2,100s      ,432.53,865.06,75.26,17.3,865.06,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.99986,0,3,N/A     ,N/A     ,56178522,18:03.5,,9002
24,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,200139,1684,GLIKAZID 80MG TAB 40S                                       ,1,1,40s       ,149.92,149.92,26.09,3,149.92,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.00107,0,3,N/A     ,N/A     ,56178523,18:03.5,,9001
25,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1256,HUNNY SYP 100ML                                             ,1,6,100ml     ,29.99,179.94,5.218,3.6,179.94,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00067,0,3,N/A     ,N/A     ,56178524,18:03.5,,9002
26,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1784,LOSECTIL 20MG CAP 120S                                      ,1,10,120s      ,449.77,4497.7,78.26,89.95,4497.7,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99991,0,3,N/A     ,N/A     ,56178526,18:03.5,,9070
27,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,200139,1704,NOCLOG 75MG TAB 40S                                         ,1,1,40s       ,359.82,359.82,62.61,7.2,359.82,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.001,0,3,N/A     ,N/A     ,56178527,18:03.5,,9008
28,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1337,NORIUM 10MG TAB 60S                                         ,1,5,60s       ,224.89,1124.45,39.131,22.49,1124.45,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00009,0,3,N/A     ,N/A     ,56178528,18:03.5,,9002
29,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1636,OSTOCAL GX TAB 30S                                          ,1,3,30s       ,337.33,1011.99,58.695,20.24,1011.99,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,2.00002,0,3,N/A     ,N/A     ,56178529,18:03.5,,9003
30,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1661,REELIFE TABLET 40S                                          ,1,5,40s       ,239.88,1199.4,41.74,23.99,1199.4,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00017,0,3,N/A     ,N/A     ,56178530,18:03.5,,9014
31,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1347,RIDON EG 10MG TAB 20S                                       ,1,3,20s       ,89.96,269.88,15.653,5.4,269.88,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00089,0,3,N/A     ,N/A     ,56178531,18:03.5,,9027
32,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1029,SOLVIT B TAB 45S                                            ,1,6,45s       ,20.92,125.52,3.64,2.51,125.52,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99968,0,3,N/A     ,N/A     ,56178532,18:03.5,,9023
33,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,12337,1240,XINC B SYP 100ML                                            ,1,10,100ml     ,41.23,412.3,7.17,8.25,412.3,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,2.00097,0,3,N/A     ,N/A     ,56178534,18:03.5,,9013
34,1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618,20190618,15466,1631,ZEEFOL CI CAP 90S                                           ,1,1,90s       ,269.87,269.87,46.957,5.4,269.87,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00096,0,3,N/A     ,N/A     ,56178535,18:03.5,,9008
35,1,SKINV510-335239       ,51052149866,New Shahadat Medical Hall,SKINV510-335239       ,20190618,20190618,15466,1502,LUMONA 10MG TAB 30S                                         ,1,1,30s       ,269.87,269.87,46.96,0,269.87,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357888        ,20190617,CASH  ,0,BSLSKF,B         ,-                   ,0,0,3,N/A     ,N/A     ,56178536,18:03.5,,9016
36,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,12337,1735,TAMEN TURBO TAB 120S                                        ,1,4,120s      ,224.89,899.56,39.13,13.49,899.56,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,A         ,"Bonus apply, Circula",1.49962,0,3,N/A     ,N/A     ,56178537,18:03.5,SC-2019-06-10843,9036
37,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,15466,1099,RIDON TAB 100S                                              ,1,2,100s      ,187.41,374.82,32.609,40.04,374.82,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,B         ,Flat Rate applied   ,10.68246,0,3,N/A     ,N/A     ,56178538,18:03.5,SC-2015-05-10164,9001
38,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,15466,1632,ETORIX 120MG TAB 30S                                        ,1,5,30s       ,314.84,1574.2,54.782,23.61,1574.2,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.49981,0,3,N/A     ,N/A     ,56178539,18:03.5,,9012
39,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,12337,1653,KEFUCLAV 500MG TAB 8S                                       ,1,2,8s        ,299.85,599.7,52.17,9,599.7,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50075,0,3,N/A     ,N/A     ,56178540,18:03.5,,9006
40,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,12337,1604,LOSECTIL V 20MG CAP 100S                                    ,1,2,100s      ,374.81,749.62,65.217,11.24,749.62,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.49943,0,3,N/A     ,N/A     ,56178541,18:03.5,,A9003
41,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,200139,1673,OLMESTA M TAB 30S                                           ,1,1,30s       ,179.91,179.91,31.3,2.7,179.91,510006,42647,CCK65,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,C         ,Regular Discount    ,1.50075,0,3,N/A     ,N/A     ,56178542,18:03.5,,0O901
42,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,12337,1636,OSTOCAL GX TAB 30S                                          ,1,1,30s       ,337.33,337.33,58.695,5.06,337.33,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50001,0,3,N/A     ,N/A     ,56178543,18:03.5,,9003
43,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,12337,1534,OSTOCAL JR 250MG TAB 30S                                    ,1,5,30s       ,67.47,337.35,11.74,5.06,337.35,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.49993,0,3,N/A     ,N/A     ,56178544,18:03.5,,9010
44,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,12337,1609,PG 25MG CAP 24S                                             ,1,1,24s       ,143.93,143.93,25.044,2.16,143.93,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50073,0,3,N/A     ,N/A     ,56178545,18:03.5,,0O901
45,1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618,20190618,12337,1345,SOLBION TAB 50S                                             ,1,1,50s       ,299.85,299.85,52.17,4.5,299.85,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50075,0,3,N/A     ,N/A     ,56178546,18:03.5,,9010
46,1,SKINV510-335262       ,51052438682,Chowduri Medical Hall,SKINV510-335262       ,20190618,20190618,12337,1735,TAMEN TURBO TAB 120S                                        ,1,4,120s      ,224.89,899.56,39.13,8.99,899.56,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357922        ,20190617,CASH  ,0,BSLSKF,A         ,"Bonus apply, Circula",0.99938,0,3,N/A     ,N/A     ,56178548,18:03.5,SC-2019-06-10843,9036
47,1,SKINV510-335262       ,51052438682,Chowduri Medical Hall,SKINV510-335262       ,20190618,20190618,15466,1632,ETORIX 120MG TAB 30S                                        ,1,1,30s       ,314.84,314.84,54.782,3.15,314.84,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357922        ,20190617,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.00051,0,3,N/A     ,N/A     ,56178549,18:03.5,,9012
48,1,SKINV510-335262       ,51052438682,Chowduri Medical Hall,SKINV510-335262       ,20190618,20190618,12337,1078,LOSECTIL 10MG CAP 48S                                       ,1,1,48s       ,71.97,71.97,12.523,0.72,71.97,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357922        ,20190617,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.00042,0,3,N/A     ,N/A     ,56178550,18:03.5,,9003
49,1,SKINV510-335262       ,51052438682,Chowduri Medical Hall,SKINV510-335262       ,20190618,20190618,15466,1219,OSTOCAL D TAB 500MG 30S                                     ,1,2,30s       ,157.42,314.84,27.39,3.15,314.84,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357922        ,20190617,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.00051,0,3,N/A     ,N/A     ,56178551,18:03.5,,9060
50,1,SKINV510-335243       ,90000001561,Apu Medical Hall,SKINV510-335243       ,20190618,20190618,12337,1784,LOSECTIL 20MG CAP 120S                                      ,1,5,120s      ,449.77,2248.85,78.26,22.49,2248.85,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357892        ,20190617,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.00007,0,3,N/A     ,N/A     ,56178552,18:03.5,,9070
51,1,SKINV510-335243       ,90000001561,Apu Medical Hall,SKINV510-335243       ,20190618,20190618,15466,1470,TAMEN SYP 100ML                                             ,1,60,100ml     ,23.88,1432.8,4.155,14.33,1432.8,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357892        ,20190617,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.00014,0,3,N/A     ,N/A     ,56178553,18:03.5,,9015
52,1,SKINV310-289608       ,31071101304,Zaman Pharmacy,SKINV310-289608       ,20190618,20190618,7843,1734,TUSCOF 100ML SYP                                            ,1,10,100ml     ,63.72,637.2,11.09,0,637.2,310036,42647,RN82,RN80,RN,SKF,N/A,Horipur Bazar,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH310-294390        ,20190618,CREDIT,0,RAJSKF,B         ,"Bonus apply, Circula",0,0,3,N/A     ,N/A     ,56178554,18:03.5,SC-2019-05-10840,9007
53,1,SKINV310-289608       ,31071101304,Zaman Pharmacy,SKINV310-289608       ,20190618,20190618,7843,1734,TUSCOF 100ML SYP                                            ,0,1,100ml     ,0,0,0,0,0,310036,42647,RN82,RN80,RN,SKF,N/A,Horipur Bazar,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH310-294390        ,20190618,CREDIT,0,RAJSKF,B         ,"Bonus Item, Circular",,0,3,N/A     ,N/A     ,56178555,18:03.5,SC-2019-05-10840,9007
